T_K	rho_1e-6_ohms.m	sigma_1e3_S/m	S_1e-6_V/K	PF_1e-6_W/m/K^2	Nc_1e20_cm^-3	Ef_eV
320.000000000000	7.018359892069341	142.48343136834396	-76.61135287548835	0.8362779167316329	-3.3407709936146763	0.14202013196725013
326.0402684563758	7.028154954916767	142.28485376527144	-77.74349306338559	0.859976871948217	-3.359392977548476	0.14219661654474572
332.08053691275165	7.031052529939674	142.22621659300557	-78.72046303549175	0.8813632488357175	-3.3755860508157816	0.14230758148412662
338.12080536912754	7.030014272697217	142.24722187033746	-79.57417273427669	0.9007163742094475	-3.3896696738625267	0.1423793291065196
344.16107382550337	7.027656424845045	142.2949472123702	-80.337682870413	0.9183919786074859	-3.4019583873615127	0.14238944054093627
350.2013422818792	7.026168605933573	142.3250787286123	-81.04364482648296	0.934801416694499	-3.4127560979037868	0.14234470568458626
356.241610738255	7.027265104438383	142.30287105127218	-81.72285904984915	0.9503876105461464	-3.4223509965963035	0.14227287648954726
362.28187919463085	7.032169223083422	142.20363137983847	-82.40303284445602	0.9655996046959671	-3.4310112164290336	0.14218930838328286
368.32214765100673	7.041628780448129	142.01259838868702	-83.10780177251705	0.9808677694907447	-3.4389813041953516	0.1420566271621483
374.36241610738256	7.055958697842465	141.72418558880946	-83.85605787016883	0.9965815763172285	-3.4464795507306096	0.14191121105349702
380.4026845637584	7.0751048843684385	141.3406608585231	-84.66160437032852	1.0130715193203592	-3.45369619073226	0.14178002499459674
386.4429530201342	7.09872250240362	140.87041712947664	-85.5331325955366	1.0305962473006212	-3.4607924519239797	0.14161060750840235
392.48322147651004	7.126261219186687	140.32603762932632	-86.47449411269083	1.0493353951034705	-3.4679004042865462	0.141441114478477
398.5234899328859	7.157050232048231	139.72236711741175	-87.48522192371668	1.0693880588919107	-3.4751235347936658	0.14128135008424436
404.56375838926175	7.1903766369327915	139.07477319944275	-88.56123985162884	1.09077640853642	-3.4825379527133338	0.14111908569558848
410.6040268456376	7.225551980098189	138.39773110128687	-89.69569035749902	1.1134536006201445	-3.490194115855378	0.1409505181812199
416.6442953020134	7.261963438884685	137.7038053710696	-90.87980824394211	1.137314944637638	-3.4981189597707045	0.14078856513709342
422.6845637583893	7.299107843972571	137.00304494415383	-92.10377096604371	1.1622111643645028	-3.50631830994506	0.140637749230896
428.7248322147651	7.336608503433702	136.30276162779802	-93.35746496376377	1.187962566134103	-3.5147794613532874	0.14047742836065136
434.76510067114094	7.374216353325405	135.60762962278014	-94.63112049436096	1.2143729634376648	-3.52347381975092	0.14032273117890312
440.80536912751677	7.411798206135662	134.92002509892623	-95.9157834985423	1.2412423096629093	-3.5323595139478767	0.1401737367887846
446.8456375838926	7.449315704588587	134.24051814370355	-97.20361051219162	1.2683771599028606	-3.5413839068203408	0.14001579968572295
452.8859060402685	7.486798970409508	133.56843210995189	-98.48798992814469	1.2955983189108886	-3.5504859536348126	0.1398637452266152
